date,hour,NUCLEAR,GAS,HYDRO,WIND,SOLAR,BIOFUEL
19/01/2016,9,11141,1550,5341,2053,14,54
19/01/2016,10,11140,1628,5428,2075,41,90
19/01/2016,11,11131,1651,5105,2179,75,165
19/01/2016,12,11133,1688,4816,2114,98,229
19/01/2016,13,11080,1610,5029,2012,76,222
19/01/2016,14,11000,1764,4894,2047,69,215
19/01/2016,15,11069,2147,4670,2161,45,186
19/01/2016,16,11147,2462,4541,1908,18,110
19/01/2016,17,11143,2827,5127,1887,5,154
19/01/2016,18,11161,3053,5833,1673,0,100
19/01/2016,19,11240,2967,5780,1549,0,121
19/01/2016,20,11259,2965,5948,1296,0,149
19/01/2016,21,11252,3093,5793,1105,0,208
19/01/2016,22,11243,2534,5496,997,0,214
19/01/2016,23,11234,1371,5117,892,0,173
19/01/2016,24,11215,964,4862,716,0,84
20/01/2016,1,11219,954,4598,615,0,44
20/01/2016,2,11238,908,4192,447,0,23
20/01/2016,3,11277,952,4109,384,0,21
20/01/2016,4,11278,1170,3286,367,0,21
20/01/2016,5,11326,1737,3346,388,0,22
20/01/2016,6,11125,2331,3274,138,0,25
20/01/2016,7,11101,2719,4653,306,0,33
20/01/2016,8,11232,2860,5771,207,0,36
20/01/2016,9,11339,3044,5778,155,11,35
20/01/2016,10,11340,2692,5696,106,44,35
20/01/2016,11,11332,2578,5823,61,59,35
20/01/2016,12,11347,2513,5780,66,82,35
20/01/2016,13,11323,2580,5571,60,107,35
20/01/2016,14,11170,2744,5391,51,81,35
20/01/2016,15,11251,2781,5322,62,45,51
20/01/2016,16,11293,2922,5577,60,32,86
20/01/2016,17,11280,3051,5537,57,5,103
20/01/2016,18,11281,3407,5926,74,0,90
20/01/2016,19,11277,3778,5741,105,0,87
20/01/2016,20,11278,3630,5718,178,0,87
20/01/2016,21,11277,3359,5604,246,0,81
20/01/2016,22,11265,3035,5410,338,0,35
20/01/2016,23,11262,2495,4960,399,0,36
20/01/2016,24,11279,1820,4695,503,0,27
21/01/2016,1,11279,1080,4210,629,0,22
21/01/2016,2,11279,949,3996,841,0,21
21/01/2016,3,11277,1148,3570,956,0,22
21/01/2016,4,11280,1570,3245,810,0,24
21/01/2016,5,11279,1870,3162,648,0,23
21/01/2016,6,11279,2076,3859,574,0,24
21/01/2016,7,11281,2287,4904,507,0,34
21/01/2016,8,11283,2564,5592,516,0,35
21/01/2016,9,11277,2552,5770,420,18,37
21/01/2016,10,11278,2549,5686,302,54,36
21/01/2016,11,11282,2418,5403,242,74,37
21/01/2016,12,11278,2467,5095,290,96,36
21/01/2016,13,11282,2487,5137,279,88,36
21/01/2016,14,11283,2535,5006,192,76,37
21/01/2016,15,11286,2625,5163,162,90,63
21/01/2016,16,11284,2679,5270,164,22,104
21/01/2016,17,11282,2898,5283,157,5,180
21/01/2016,18,11278,3569,5900,144,0,185
21/01/2016,19,11281,3737,5888,155,0,210
21/01/2016,20,11280,3550,5937,146,0,211
21/01/2016,21,11284,3259,5811,159,0,214
21/01/2016,22,11271,2895,5422,168,0,185
21/01/2016,23,11271,2503,4849,178,0,97
21/01/2016,24,11267,1985,4868,185,0,34
22/01/2016,1,11283,1594,4461,162,0,22
22/01/2016,2,11278,1501,4436,154,0,21
22/01/2016,3,11284,1414,4134,165,0,21
22/01/2016,4,11294,1390,4208,196,0,20
22/01/2016,5,11305,1738,4153,192,0,20
22/01/2016,6,11298,2170,4221,221,0,27
22/01/2016,7,11301,2368,4905,321,0,32
22/01/2016,8,11307,2439,5417,625,1,47
22/01/2016,9,11288,2376,5330,798,30,49
22/01/2016,10,11295,2345,4966,826,61,52
22/01/2016,11,11299,2345,5117,840,68,54
22/01/2016,12,11293,2467,4972,873,84,54
22/01/2016,13,11300,2124,4801,859,89,54
22/01/2016,14,11303,2073,4996,838,84,47
22/01/2016,15,11301,2028,5103,774,71,36
22/01/2016,16,11302,2177,5113,910,38,35
22/01/2016,17,11307,2301,5188,932,10,35
22/01/2016,18,11301,2559,5752,779,0,34
22/01/2016,19,11304,2926,5514,891,0,34
22/01/2016,20,11306,2624,5358,1058,0,34
22/01/2016,21,11298,2526,5159,1213,0,34
22/01/2016,22,11301,2054,4678,1300,0,34
22/01/2016,23,11305,1527,4037,1440,0,33
22/01/2016,24,11287,1041,4055,1508,0,9
23/01/2016,1,11290,940,3448,1605,0,2
23/01/2016,2,11300,937,3218,1522,0,3
23/01/2016,3,11309,947,2924,1625,0,3
23/01/2016,4,11308,1075,2810,1483,0,3
23/01/2016,5,11311,1251,2814,1359,0,3
23/01/2016,6,11305,1341,3091,1266,0,3
23/01/2016,7,11298,1251,3299,1763,0,3
23/01/2016,8,11298,1206,4155,2028,0,3
23/01/2016,9,11294,1321,4504,1745,8,3
23/01/2016,10,11299,1588,4416,1460,41,3
23/01/2016,11,11289,1738,4210,1429,72,2
23/01/2016,12,11302,1852,3704,1528,112,3
23/01/2016,13,11300,1935,3835,1247,117,3
23/01/2016,14,11298,2045,3725,1068,113,3
23/01/2016,15,11250,2033,3875,1041,101,4
23/01/2016,16,11305,1983,4237,993,98,2
23/01/2016,17,11398,1881,5178,889,30,2
23/01/2016,18,11459,2377,5630,863,0,3
23/01/2016,19,11482,2777,5602,751,0,3
23/01/2016,20,11481,2715,5589,640,0,2
23/01/2016,21,11477,2522,5581,456,0,2
23/01/2016,22,11479,2202,5392,306,0,2
23/01/2016,23,11484,2139,4830,241,0,2
23/01/2016,24,11481,1615,4694,232,0,3
24/01/2016,1,11482,1469,4386,204,0,3
24/01/2016,2,11486,1127,4293,195,0,2
24/01/2016,3,11491,986,4123,224,0,2
24/01/2016,4,11490,911,4001,282,0,2
24/01/2016,5,11496,916,3796,453,0,2
24/01/2016,6,11486,919,3908,486,0,2
24/01/2016,7,11489,921,4161,566,0,2
24/01/2016,8,11489,923,4699,743,0,4
24/01/2016,9,11485,921,4708,869,14,4
24/01/2016,10,11494,974,4823,963,51,3
24/01/2016,11,11488,1051,4869,889,69,4
24/01/2016,12,11491,1150,5113,949,87,4
24/01/2016,13,11488,1469,4717,1258,57,4
24/01/2016,14,11483,1916,3875,1679,37,3
24/01/2016,15,11482,2160,3885,1354,21,3
24/01/2016,16,11483,2236,4015,1379,22,3
