date,hour,OntDemand
21/01/2016,5,15101
21/01/2016,6,15747
21/01/2016,7,17203
21/01/2016,8,18589
21/01/2016,9,18733
21/01/2016,10,18436
21/01/2016,11,18143
21/01/2016,12,17904
21/01/2016,13,17662
21/01/2016,14,17638
21/01/2016,15,17672
21/01/2016,16,17964
21/01/2016,17,18814
21/01/2016,18,19979
21/01/2016,19,19983
21/01/2016,20,19808
21/01/2016,21,19507
21/01/2016,22,18828
21/01/2016,23,17546
21/01/2016,24,16307
22/01/2016,1,15504
22/01/2016,2,15094
22/01/2016,3,14892
22/01/2016,4,14870
22/01/2016,5,14933
22/01/2016,6,15536
22/01/2016,7,16832
22/01/2016,8,18398
22/01/2016,9,18419
22/01/2016,10,18198
22/01/2016,11,18185
22/01/2016,12,17872
22/01/2016,13,17566
22/01/2016,14,17509
22/01/2016,15,17494
22/01/2016,16,17664
22/01/2016,17,18322
22/01/2016,18,19099
22/01/2016,19,19364
22/01/2016,20,19056
22/01/2016,21,18730
22/01/2016,22,18131
22/01/2016,23,17126
22/01/2016,24,15982
23/01/2016,1,15131
23/01/2016,2,14676
23/01/2016,3,14384
23/01/2016,4,14234
23/01/2016,5,14277
23/01/2016,6,14464
23/01/2016,7,15167
23/01/2016,8,16113
23/01/2016,9,16715
23/01/2016,10,16643
23/01/2016,11,16453
23/01/2016,12,16214
23/01/2016,13,16054
23/01/2016,14,15854
23/01/2016,15,15843
23/01/2016,16,16141
23/01/2016,17,17107
23/01/2016,18,18243
23/01/2016,19,18786
23/01/2016,20,18359
23/01/2016,21,17863
23/01/2016,22,17379
23/01/2016,23,16610
23/01/2016,24,15765
24/01/2016,1,15194
24/01/2016,2,14728
24/01/2016,3,14429
24/01/2016,4,14296
24/01/2016,5,14299
24/01/2016,6,14461
24/01/2016,7,14769
24/01/2016,8,15394
24/01/2016,9,15897
24/01/2016,10,16306
24/01/2016,11,16503
24/01/2016,12,16615
24/01/2016,13,16648
24/01/2016,14,16505
24/01/2016,15,16380
24/01/2016,16,16692
24/01/2016,17,17470
24/01/2016,18,18591
24/01/2016,19,18721
24/01/2016,20,18339
24/01/2016,21,17869
24/01/2016,22,17137
24/01/2016,23,16154
24/01/2016,24,15162
25/01/2016,1,14434
25/01/2016,2,14049
25/01/2016,3,13889
25/01/2016,4,13922
25/01/2016,5,14073
25/01/2016,6,14766
25/01/2016,7,16260
25/01/2016,8,17830
25/01/2016,9,17927
25/01/2016,10,17817
25/01/2016,11,17650
25/01/2016,12,17576
25/01/2016,13,17124
25/01/2016,14,17067
25/01/2016,15,16804
25/01/2016,16,16855
25/01/2016,17,17784
25/01/2016,18,18831
25/01/2016,19,19199
25/01/2016,20,18969
25/01/2016,21,18347
25/01/2016,22,17477
25/01/2016,23,16179
25/01/2016,24,15012
26/01/2016,1,14201
26/01/2016,2,13619
26/01/2016,3,13315
26/01/2016,4,13295
26/01/2016,5,13464
26/01/2016,6,14081
26/01/2016,7,15362
26/01/2016,8,16902
26/01/2016,9,17103
26/01/2016,10,17131
26/01/2016,11,17189
26/01/2016,12,17310
26/01/2016,13,17461
26/01/2016,14,17514
26/01/2016,15,17420
26/01/2016,16,17419
26/01/2016,17,18068
26/01/2016,18,18820
26/01/2016,19,18728
26/01/2016,20,18670
26/01/2016,21,18322
26/01/2016,22,17522
26/01/2016,23,16347
26/01/2016,24,15157
27/01/2016,1,14347
27/01/2016,2,13973
27/01/2016,3,13832
27/01/2016,4,13870
27/01/2016,5,14003
27/01/2016,6,14711
27/01/2016,7,16141
27/01/2016,8,17757
27/01/2016,9,17962
27/01/2016,10,17740
27/01/2016,11,17221
27/01/2016,12,16917
27/01/2016,13,16523
27/01/2016,14,16544
27/01/2016,15,16530
27/01/2016,16,16972
27/01/2016,17,17923
27/01/2016,18,19101
27/01/2016,19,19124
27/01/2016,20,18959
27/01/2016,21,18503
27/01/2016,22,17707
27/01/2016,23,16699
27/01/2016,24,15423
28/01/2016,1,14741
28/01/2016,2,14263
28/01/2016,3,14071
28/01/2016,4,13974
28/01/2016,5,14072
28/01/2016,6,14719
28/01/2016,7,16017
28/01/2016,8,17484
28/01/2016,9,17794
28/01/2016,10,17737
28/01/2016,11,17838
28/01/2016,12,17844
28/01/2016,13,17763
28/01/2016,14,17747
28/01/2016,15,17829
28/01/2016,16,18007
28/01/2016,17,18563
28/01/2016,18,19281
28/01/2016,19,19356
28/01/2016,20,19130
28/01/2016,21,18696
28/01/2016,22,17840
28/01/2016,23,16552
28/01/2016,24,15385
29/01/2016,1,14598
29/01/2016,2,14125
29/01/2016,3,13946
29/01/2016,4,13994
29/01/2016,5,14144
29/01/2016,6,14885
29/01/2016,7,16305
29/01/2016,8,17897
29/01/2016,9,18153
29/01/2016,10,17857
29/01/2016,11,17630
29/01/2016,12,17404
29/01/2016,13,17270
29/01/2016,14,17282
29/01/2016,15,17292
29/01/2016,16,17475
29/01/2016,17,18189
29/01/2016,18,19130
29/01/2016,19,19439
29/01/2016,20,19350
29/01/2016,21,19057
29/01/2016,22,18383
29/01/2016,23,17339
29/01/2016,24,16117
30/01/2016,1,15318
30/01/2016,2,14736
30/01/2016,3,14385
30/01/2016,4,14098
30/01/2016,5,13939
30/01/2016,6,14145
30/01/2016,7,14714
30/01/2016,8,15548
30/01/2016,9,15908
30/01/2016,10,16282
30/01/2016,11,16323
30/01/2016,12,16271
30/01/2016,13,16230
30/01/2016,14,16058
30/01/2016,15,15977
30/01/2016,16,15981
30/01/2016,17,16416
30/01/2016,18,17038
30/01/2016,19,17412
30/01/2016,20,16909
30/01/2016,21,16428
30/01/2016,22,15918
30/01/2016,23,15135
30/01/2016,24,14215
31/01/2016,1,13586
31/01/2016,2,13137
31/01/2016,3,12788
31/01/2016,4,12621
31/01/2016,5,12655
31/01/2016,6,12847
31/01/2016,7,13210
31/01/2016,8,14014
31/01/2016,9,14502
31/01/2016,10,15058
31/01/2016,11,15299
31/01/2016,12,15378
31/01/2016,13,15227
31/01/2016,14,15087
31/01/2016,15,15141
31/01/2016,16,15497
31/01/2016,17,16674
31/01/2016,18,17485
31/01/2016,19,17316
31/01/2016,20,16927
31/01/2016,21,16398
31/01/2016,22,15675
31/01/2016,23,14743
